name	electrode_name	type	units	stream_id	gain	recording_mode
electrode_0	electrode_0	VM	V	data_00000_AD0,data_00001_AD0,data_00002_AD0,data_00003_AD0	0.0005000000237487257	voltage-clamp
electrode_1	electrode_1	n/a	V	data_00001_AD1,data_00002_AD1,data_00003_AD1,data_00004_AD1,data_00005_AD1,data_00006_AD1,data_00007_AD1,data_00008_AD1,data_00009_AD1,data_00010_AD1,data_00011_AD1,data_00012_AD1,data_00013_AD1,data_00014_AD1,data_00015_AD1,data_00016_AD1,data_00017_AD1,data_00018_AD1,data_00019_AD1,data_00020_AD1,data_00021_AD1,data_00022_AD1,data_00023_AD1,data_00024_AD1,data_00025_AD1,data_00026_AD1,data_00027_AD1,data_00028_AD1,data_00029_AD1,data_00030_AD1,data_00031_AD1,data_00032_AD1,data_00033_AD1,data_00034_AD1,data_00035_AD1,data_00036_AD1,data_00037_AD1,data_00038_AD1,data_00039_AD1,data_00040_AD1,data_00041_AD1,data_00042_AD1,data_00043_AD1		n/a
