participant_id	original_participant_id	species	sex
sub-650869055	sub-650869055	Mus musculus	F
sub-650869065	sub-650869065	Mus musculus	F
sub-650869095	sub-650869095	Mus musculus	M
sub-652361164	sub-652361164	Mus musculus	M
sub-652361174	sub-652361174	Mus musculus	M
sub-652361194	sub-652361194	Mus musculus	M
sub-652361281	sub-652361281	Mus musculus	M
sub-652361291	sub-652361291	Mus musculus	M
sub-652361301	sub-652361301	Mus musculus	M
sub-652361311	sub-652361311	Mus musculus	F
sub-652361321	sub-652361321	Mus musculus	F
sub-652361331	sub-652361331	Mus musculus	M
sub-652361353	sub-652361353	Mus musculus	F
sub-653545469	sub-653545469	Mus musculus	M
sub-653545475	sub-653545475	Mus musculus	M
sub-653545481	sub-653545481	Mus musculus	F
sub-653545521	sub-653545521	Mus musculus	M
sub-653545528	sub-653545528	Mus musculus	F
sub-653545721	sub-653545721	Mus musculus	M
sub-653545733	sub-653545733	Mus musculus	F
sub-653545757	sub-653545757	Mus musculus	F
sub-653545820	sub-653545820	Mus musculus	M
sub-653545830	sub-653545830	Mus musculus	F
sub-656436784	sub-656436784	Mus musculus	M
sub-656436795	sub-656436795	Mus musculus	F
sub-656436807	sub-656436807	Mus musculus	F
sub-656436817	sub-656436817	Mus musculus	F
sub-656436829	sub-656436829	Mus musculus	F
sub-656436840	sub-656436840	Mus musculus	F
sub-656436853	sub-656436853	Mus musculus	F
sub-656436866	sub-656436866	Mus musculus	M
sub-656436893	sub-656436893	Mus musculus	M
sub-656436915	sub-656436915	Mus musculus	M
sub-656436926	sub-656436926	Mus musculus	M
sub-656436937	sub-656436937	Mus musculus	F
sub-656436947	sub-656436947	Mus musculus	M
sub-656436961	sub-656436961	Mus musculus	M
sub-656436967	sub-656436967	Mus musculus	F
sub-656436974	sub-656436974	Mus musculus	F
sub-656841447	sub-656841447	Mus musculus	M
sub-656841465	sub-656841465	Mus musculus	M
sub-656841505	sub-656841505	Mus musculus	M
sub-656841515	sub-656841515	Mus musculus	M
sub-656841535	sub-656841535	Mus musculus	F
sub-656841567	sub-656841567	Mus musculus	M
sub-656854238	sub-656854238	Mus musculus	M
sub-656854248	sub-656854248	Mus musculus	M
sub-657069410	sub-657069410	Mus musculus	M
sub-657069420	sub-657069420	Mus musculus	F
sub-657069440	sub-657069440	Mus musculus	F
sub-657498755	sub-657498755	Mus musculus	M
sub-657609919	sub-657609919	Mus musculus	F
sub-657609931	sub-657609931	Mus musculus	M
sub-657609943	sub-657609943	Mus musculus	F
sub-657609967	sub-657609967	Mus musculus	F
sub-657609979	sub-657609979	Mus musculus	F
sub-657609991	sub-657609991	Mus musculus	F
sub-657610003	sub-657610003	Mus musculus	M
sub-657610013	sub-657610013	Mus musculus	M
sub-657610023	sub-657610023	Mus musculus	F
sub-657610043	sub-657610043	Mus musculus	M
sub-657610053	sub-657610053	Mus musculus	M
sub-657610063	sub-657610063	Mus musculus	F
sub-657610073	sub-657610073	Mus musculus	F
sub-657610083	sub-657610083	Mus musculus	F
sub-657610093	sub-657610093	Mus musculus	F
sub-657610404	sub-657610404	Mus musculus	F
sub-658360482	sub-658360482	Mus musculus	M
sub-658360512	sub-658360512	Mus musculus	M
sub-658360522	sub-658360522	Mus musculus	F
sub-658360532	sub-658360532	Mus musculus	F
sub-658360542	sub-658360542	Mus musculus	M
sub-658360552	sub-658360552	Mus musculus	F
sub-658360562	sub-658360562	Mus musculus	F
sub-658360572	sub-658360572	Mus musculus	F
sub-658360582	sub-658360582	Mus musculus	M
sub-658360606	sub-658360606	Mus musculus	F
sub-658360616	sub-658360616	Mus musculus	M
sub-658360656	sub-658360656	Mus musculus	F
sub-660204185	sub-660204185	Mus musculus	F
sub-660204215	sub-660204215	Mus musculus	M
sub-660204237	sub-660204237	Mus musculus	F
sub-660204261	sub-660204261	Mus musculus	F
sub-660204283	sub-660204283	Mus musculus	F
sub-660204332	sub-660204332	Mus musculus	M
sub-660204353	sub-660204353	Mus musculus	M
sub-660204374	sub-660204374	Mus musculus	M
sub-660204397	sub-660204397	Mus musculus	M
sub-660204421	sub-660204421	Mus musculus	M
sub-660204570	sub-660204570	Mus musculus	M
sub-660204595	sub-660204595	Mus musculus	F
sub-661397544	sub-661397544	Mus musculus	M
sub-661397554	sub-661397554	Mus musculus	M
sub-663393304	sub-663393304	Mus musculus	M
sub-663393316	sub-663393316	Mus musculus	M
sub-663393328	sub-663393328	Mus musculus	F
sub-663393340	sub-663393340	Mus musculus	F
sub-663393352	sub-663393352	Mus musculus	F
sub-663393364	sub-663393364	Mus musculus	F
sub-663393376	sub-663393376	Mus musculus	M
sub-663393388	sub-663393388	Mus musculus	M
sub-663393400	sub-663393400	Mus musculus	F
sub-666414024	sub-666414024	Mus musculus	F
sub-666414034	sub-666414034	Mus musculus	F
sub-666414056	sub-666414056	Mus musculus	F
sub-666414066	sub-666414066	Mus musculus	F
sub-666414077	sub-666414077	Mus musculus	M
sub-666414087	sub-666414087	Mus musculus	M
sub-666414099	sub-666414099	Mus musculus	M
sub-666414113	sub-666414113	Mus musculus	F
sub-666414134	sub-666414134	Mus musculus	F
sub-666414145	sub-666414145	Mus musculus	F
sub-668456773	sub-668456773	Mus musculus	F
sub-668456783	sub-668456783	Mus musculus	M
sub-668456803	sub-668456803	Mus musculus	M
sub-668456813	sub-668456813	Mus musculus	M
sub-668456824	sub-668456824	Mus musculus	M
sub-668456834	sub-668456834	Mus musculus	M
sub-668456846	sub-668456846	Mus musculus	M
sub-668456884	sub-668456884	Mus musculus	F
sub-668456896	sub-668456896	Mus musculus	M
sub-668456908	sub-668456908	Mus musculus	M
sub-670689739	sub-670689739	Mus musculus	F
sub-670689759	sub-670689759	Mus musculus	F
sub-670689779	sub-670689779	Mus musculus	M
sub-670689800	sub-670689800	Mus musculus	M
sub-670689819	sub-670689819	Mus musculus	M
sub-670689839	sub-670689839	Mus musculus	F
sub-670689853	sub-670689853	Mus musculus	F
sub-670689897	sub-670689897	Mus musculus	M
sub-670689918	sub-670689918	Mus musculus	M
sub-670689966	sub-670689966	Mus musculus	F
sub-670689987	sub-670689987	Mus musculus	M
sub-670690010	sub-670690010	Mus musculus	M
sub-670690034	sub-670690034	Mus musculus	M
sub-670833565	sub-670833565	Mus musculus	M
sub-673134008	sub-673134008	Mus musculus	F
sub-673134018	sub-673134018	Mus musculus	F
sub-673134052	sub-673134052	Mus musculus	F
sub-673134072	sub-673134072	Mus musculus	M
sub-673134082	sub-673134082	Mus musculus	F
sub-673134092	sub-673134092	Mus musculus	F
sub-673134102	sub-673134102	Mus musculus	F
sub-673134113	sub-673134113	Mus musculus	M
sub-673135464	sub-673135464	Mus musculus	M
sub-673135474	sub-673135474	Mus musculus	F
sub-673135504	sub-673135504	Mus musculus	F
sub-673135516	sub-673135516	Mus musculus	F
sub-673135540	sub-673135540	Mus musculus	F
sub-676523116	sub-676523116	Mus musculus	F
sub-676930727	sub-676930727	Mus musculus	F
sub-677346941	sub-677346941	Mus musculus	M
sub-677854910	sub-677854910	Mus musculus	M
sub-677854952	sub-677854952	Mus musculus	F
sub-677854978	sub-677854978	Mus musculus	F
sub-677855003	sub-677855003	Mus musculus	F
sub-677855172	sub-677855172	Mus musculus	F
sub-677855197	sub-677855197	Mus musculus	F
sub-677855275	sub-677855275	Mus musculus	M
sub-677855323	sub-677855323	Mus musculus	F
sub-677959339	sub-677959339	Mus musculus	M
sub-677961492	sub-677961492	Mus musculus	M
sub-679293588	sub-679293588	Mus musculus	M
sub-679618534	sub-679618534	Mus musculus	M
sub-679618544	sub-679618544	Mus musculus	M
sub-679618558	sub-679618558	Mus musculus	M
sub-679618571	sub-679618571	Mus musculus	M
sub-679618611	sub-679618611	Mus musculus	M
sub-679618631	sub-679618631	Mus musculus	M
sub-679742038	sub-679742038	Mus musculus	M
sub-679829560	sub-679829560	Mus musculus	M
sub-679874327	sub-679874327	Mus musculus	F
sub-680614572	sub-680614572	Mus musculus	F
sub-680735242	sub-680735242	Mus musculus	M
sub-680823130	sub-680823130	Mus musculus	M
sub-680831299	sub-680831299	Mus musculus	F
sub-680831309	sub-680831309	Mus musculus	M
sub-680831329	sub-680831329	Mus musculus	M
sub-680831348	sub-680831348	Mus musculus	M
sub-682365442	sub-682365442	Mus musculus	M
sub-682365473	sub-682365473	Mus musculus	M
sub-682365560	sub-682365560	Mus musculus	F
sub-682365580	sub-682365580	Mus musculus	M
sub-682365620	sub-682365620	Mus musculus	M
sub-682365655	sub-682365655	Mus musculus	F
sub-682365711	sub-682365711	Mus musculus	F
sub-682365750	sub-682365750	Mus musculus	F
sub-682365774	sub-682365774	Mus musculus	M
sub-682365796	sub-682365796	Mus musculus	F
sub-682365806	sub-682365806	Mus musculus	M
sub-682365819	sub-682365819	Mus musculus	M
sub-682365830	sub-682365830	Mus musculus	F
sub-682365841	sub-682365841	Mus musculus	M
sub-682365852	sub-682365852	Mus musculus	F
sub-682365862	sub-682365862	Mus musculus	M
sub-682365875	sub-682365875	Mus musculus	M
sub-684664075	sub-684664075	Mus musculus	M
sub-689436770	sub-689436770	Mus musculus	F
sub-689437163	sub-689437163	Mus musculus	F
sub-689437173	sub-689437173	Mus musculus	F
sub-689440666	sub-689440666	Mus musculus	M
sub-689440687	sub-689440687	Mus musculus	M
sub-689440726	sub-689440726	Mus musculus	M
sub-689440847	sub-689440847	Mus musculus	M
sub-689440869	sub-689440869	Mus musculus	M
sub-689440889	sub-689440889	Mus musculus	F
sub-689440971	sub-689440971	Mus musculus	M
sub-689595066	sub-689595066	Mus musculus	F
sub-689595077	sub-689595077	Mus musculus	F
sub-689595088	sub-689595088	Mus musculus	M
sub-689595099	sub-689595099	Mus musculus	M
sub-689595109	sub-689595109	Mus musculus	F
sub-689763228	sub-689763228	Mus musculus	M
sub-690510675	sub-690510675	Mus musculus	F
sub-690919641	sub-690919641	Mus musculus	M
sub-690919651	sub-690919651	Mus musculus	F
sub-693123059	sub-693123059	Mus musculus	F
sub-693123083	sub-693123083	Mus musculus	M
sub-693123099	sub-693123099	Mus musculus	M
sub-693123128	sub-693123128	Mus musculus	F
sub-693123220	sub-693123220	Mus musculus	F
sub-693264805	sub-693264805	Mus musculus	M
sub-693264825	sub-693264825	Mus musculus	F
sub-693351923	sub-693351923	Mus musculus	M
sub-693351935	sub-693351935	Mus musculus	M
sub-696533163	sub-696533163	Mus musculus	M
sub-696533173	sub-696533173	Mus musculus	F
sub-696533183	sub-696533183	Mus musculus	F
sub-696533193	sub-696533193	Mus musculus	M
sub-696533203	sub-696533203	Mus musculus	M
sub-696533213	sub-696533213	Mus musculus	F
sub-696533223	sub-696533223	Mus musculus	F
sub-696533233	sub-696533233	Mus musculus	M
sub-696533243	sub-696533243	Mus musculus	F
sub-696533253	sub-696533253	Mus musculus	M
sub-696533265	sub-696533265	Mus musculus	F
sub-697958018	sub-697958018	Mus musculus	F
sub-699347605	sub-699347605	Mus musculus	F
sub-699347627	sub-699347627	Mus musculus	F
sub-699347648	sub-699347648	Mus musculus	M
sub-699347678	sub-699347678	Mus musculus	M
sub-699357433	sub-699357433	Mus musculus	M
sub-700086487	sub-700086487	Mus musculus	M
sub-700086507	sub-700086507	Mus musculus	F
sub-700086520	sub-700086520	Mus musculus	F
sub-700086539	sub-700086539	Mus musculus	F
sub-700086553	sub-700086553	Mus musculus	F
sub-701146892	sub-701146892	Mus musculus	M
sub-701146902	sub-701146902	Mus musculus	F
sub-701146912	sub-701146912	Mus musculus	M
sub-701146922	sub-701146922	Mus musculus	M
sub-701146932	sub-701146932	Mus musculus	M
sub-701146942	sub-701146942	Mus musculus	M
sub-701146952	sub-701146952	Mus musculus	M
sub-701146962	sub-701146962	Mus musculus	M
sub-701146972	sub-701146972	Mus musculus	M
sub-701146982	sub-701146982	Mus musculus	F
sub-701146992	sub-701146992	Mus musculus	F
sub-701147002	sub-701147002	Mus musculus	F
sub-701147026	sub-701147026	Mus musculus	F
sub-703285795	sub-703285795	Mus musculus	M
sub-703285805	sub-703285805	Mus musculus	M
sub-703285815	sub-703285815	Mus musculus	F
sub-703285825	sub-703285825	Mus musculus	F
sub-703285835	sub-703285835	Mus musculus	F
sub-703285845	sub-703285845	Mus musculus	F
sub-703285861	sub-703285861	Mus musculus	F
sub-703285871	sub-703285871	Mus musculus	F
sub-703285893	sub-703285893	Mus musculus	F
sub-705968814	sub-705968814	Mus musculus	M
sub-705968822	sub-705968822	Mus musculus	F
sub-705968830	sub-705968830	Mus musculus	F
sub-705968846	sub-705968846	Mus musculus	F
sub-705968856	sub-705968856	Mus musculus	F
sub-705968866	sub-705968866	Mus musculus	M
sub-705968886	sub-705968886	Mus musculus	F
sub-705968896	sub-705968896	Mus musculus	F
sub-705968928	sub-705968928	Mus musculus	M
sub-705968940	sub-705968940	Mus musculus	M
sub-705968950	sub-705968950	Mus musculus	M
sub-706395435	sub-706395435	Mus musculus	M
sub-706395456	sub-706395456	Mus musculus	F
sub-710168752	sub-710168752	Mus musculus	M
sub-710327092	sub-710327092	Mus musculus	M
sub-710327102	sub-710327102	Mus musculus	F
sub-710327122	sub-710327122	Mus musculus	M
sub-710327144	sub-710327144	Mus musculus	F
sub-710327154	sub-710327154	Mus musculus	F
sub-710327166	sub-710327166	Mus musculus	F
sub-710327176	sub-710327176	Mus musculus	F
sub-710327400	sub-710327400	Mus musculus	M
sub-710328048	sub-710328048	Mus musculus	M
sub-710328058	sub-710328058	Mus musculus	F
sub-710328068	sub-710328068	Mus musculus	M
sub-710328078	sub-710328078	Mus musculus	M
sub-712195461	sub-712195461	Mus musculus	F
sub-712195471	sub-712195471	Mus musculus	F
sub-712195481	sub-712195481	Mus musculus	M
sub-712195491	sub-712195491	Mus musculus	F
sub-712195501	sub-712195501	Mus musculus	M
sub-712195511	sub-712195511	Mus musculus	M
sub-712195521	sub-712195521	Mus musculus	F
sub-712195531	sub-712195531	Mus musculus	F
sub-712195740	sub-712195740	Mus musculus	M
sub-712195772	sub-712195772	Mus musculus	M
sub-712195782	sub-712195782	Mus musculus	M
sub-712195792	sub-712195792	Mus musculus	F
sub-712452501	sub-712452501	Mus musculus	M
sub-712452512	sub-712452512	Mus musculus	M
sub-714724486	sub-714724486	Mus musculus	M
sub-714724499	sub-714724499	Mus musculus	F
sub-714724521	sub-714724521	Mus musculus	M
sub-714724552	sub-714724552	Mus musculus	M
sub-714724565	sub-714724565	Mus musculus	M
sub-714724580	sub-714724580	Mus musculus	M
sub-716273732	sub-716273732	Mus musculus	M
sub-716595500	sub-716595500	Mus musculus	M
sub-716595510	sub-716595510	Mus musculus	M
sub-716595522	sub-716595522	Mus musculus	M
sub-716842978	sub-716842978	Mus musculus	M
sub-716842998	sub-716842998	Mus musculus	M
sub-716843008	sub-716843008	Mus musculus	M
sub-716843028	sub-716843028	Mus musculus	F
sub-716843159	sub-716843159	Mus musculus	M
sub-716843169	sub-716843169	Mus musculus	F
sub-717036602	sub-717036602	Mus musculus	F
sub-717036612	sub-717036612	Mus musculus	F
sub-717036622	sub-717036622	Mus musculus	F
sub-717036642	sub-717036642	Mus musculus	M
sub-718570265	sub-718570265	Mus musculus	M
sub-718922629	sub-718922629	Mus musculus	M
sub-718922639	sub-718922639	Mus musculus	F
sub-718922649	sub-718922649	Mus musculus	F
sub-718922659	sub-718922659	Mus musculus	F
sub-718922669	sub-718922669	Mus musculus	M
sub-718922679	sub-718922679	Mus musculus	F
sub-718922689	sub-718922689	Mus musculus	M
sub-718922709	sub-718922709	Mus musculus	M
sub-718922733	sub-718922733	Mus musculus	F
sub-718922745	sub-718922745	Mus musculus	M
sub-718922958	sub-718922958	Mus musculus	M
sub-718922968	sub-718922968	Mus musculus	F
sub-719348857	sub-719348857	Mus musculus	M
sub-721974328	sub-721974328	Mus musculus	F
sub-721974338	sub-721974338	Mus musculus	M
sub-721974358	sub-721974358	Mus musculus	M
sub-721974368	sub-721974368	Mus musculus	F
sub-721974378	sub-721974378	Mus musculus	F
sub-721974390	sub-721974390	Mus musculus	M
sub-721974402	sub-721974402	Mus musculus	M
sub-721974414	sub-721974414	Mus musculus	F
sub-721974426	sub-721974426	Mus musculus	M
sub-721974688	sub-721974688	Mus musculus	M
sub-721974698	sub-721974698	Mus musculus	F
sub-724623712	sub-724623712	Mus musculus	M
sub-724623723	sub-724623723	Mus musculus	M
sub-724623734	sub-724623734	Mus musculus	M
sub-724623745	sub-724623745	Mus musculus	M
sub-724623755	sub-724623755	Mus musculus	F
sub-724623777	sub-724623777	Mus musculus	F
sub-724623850	sub-724623850	Mus musculus	M
sub-724625943	sub-724625943	Mus musculus	M
sub-724625970	sub-724625970	Mus musculus	M
sub-728913614	sub-728913614	Mus musculus	F
sub-728913624	sub-728913624	Mus musculus	F
sub-729725803	sub-729725803	Mus musculus	M
sub-729725832	sub-729725832	Mus musculus	M
sub-729729896	sub-729729896	Mus musculus	F
sub-729729908	sub-729729908	Mus musculus	F
sub-729729920	sub-729729920	Mus musculus	F
sub-729729930	sub-729729930	Mus musculus	F
sub-729731661	sub-729731661	Mus musculus	F
sub-729731676	sub-729731676	Mus musculus	M
sub-729731691	sub-729731691	Mus musculus	F
sub-729731705	sub-729731705	Mus musculus	F
sub-729731722	sub-729731722	Mus musculus	F
sub-729731768	sub-729731768	Mus musculus	F
sub-729731783	sub-729731783	Mus musculus	F
sub-729731798	sub-729731798	Mus musculus	M
sub-729731829	sub-729731829	Mus musculus	M
sub-732239826	sub-732239826	Mus musculus	F
sub-732239838	sub-732239838	Mus musculus	F
sub-732239848	sub-732239848	Mus musculus	F
sub-732239858	sub-732239858	Mus musculus	M
sub-732239870	sub-732239870	Mus musculus	M
sub-732239880	sub-732239880	Mus musculus	M
sub-732239902	sub-732239902	Mus musculus	F
sub-732239914	sub-732239914	Mus musculus	F
sub-732239924	sub-732239924	Mus musculus	F
sub-732239936	sub-732239936	Mus musculus	F
sub-732239946	sub-732239946	Mus musculus	M
sub-732239966	sub-732239966	Mus musculus	F
sub-732239976	sub-732239976	Mus musculus	F
sub-732240457	sub-732240457	Mus musculus	M
sub-732240469	sub-732240469	Mus musculus	M
sub-732240481	sub-732240481	Mus musculus	F
sub-732240491	sub-732240491	Mus musculus	F
sub-732240501	sub-732240501	Mus musculus	F
sub-737379049	sub-737379049	Mus musculus	M
sub-737379073	sub-737379073	Mus musculus	M
sub-737379098	sub-737379098	Mus musculus	M
sub-737379123	sub-737379123	Mus musculus	F
sub-737379173	sub-737379173	Mus musculus	M
sub-737379189	sub-737379189	Mus musculus	F
sub-737379214	sub-737379214	Mus musculus	F
sub-737379242	sub-737379242	Mus musculus	F
sub-737379272	sub-737379272	Mus musculus	M
sub-737379319	sub-737379319	Mus musculus	M
sub-737379338	sub-737379338	Mus musculus	M
sub-737379362	sub-737379362	Mus musculus	F
sub-737382236	sub-737382236	Mus musculus	M
sub-737382253	sub-737382253	Mus musculus	M
sub-737382273	sub-737382273	Mus musculus	M
sub-737382291	sub-737382291	Mus musculus	F
sub-737835559	sub-737835559	Mus musculus	F
sub-740369766	sub-740369766	Mus musculus	M
sub-740369772	sub-740369772	Mus musculus	M
sub-740369784	sub-740369784	Mus musculus	F
sub-740369796	sub-740369796	Mus musculus	M
sub-740369808	sub-740369808	Mus musculus	M
sub-740369820	sub-740369820	Mus musculus	M
sub-740369830	sub-740369830	Mus musculus	F
sub-740369840	sub-740369840	Mus musculus	F
sub-740369870	sub-740369870	Mus musculus	F
sub-740369890	sub-740369890	Mus musculus	M
sub-740370149	sub-740370149	Mus musculus	F
sub-740370161	sub-740370161	Mus musculus	F
sub-740370173	sub-740370173	Mus musculus	M
